Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2018-03-26,Z (Dec 2018),0.0000,18.0000,19.5000,0.0000,18.5000,0,0,0,0
2018-03-27,Z (Dec 2018),18.6800,19.0600,18.6500,19.0400,19.0250,0.5250,115,0,113
2018-03-28,Z (Dec 2018),18.9700,19.4500,18.9700,19.3000,19.4250,0.4000,43,0,149
2018-03-29,Z (Dec 2018),19.0000,19.1000,18.8900,18.8900,18.9000,-0.5250,12,0,154
2018-04-02,Z (Dec 2018),19.2500,19.6000,19.1500,19.4000,19.2250,0.3250,130,0,221
2018-04-03,Z (Dec 2018),19.4200,19.4500,18.9400,18.9700,19.0500,-0.1750,96,0,273
2018-04-04,Z (Dec 2018),19.2500,19.5000,18.9800,18.9800,18.9500,-0.1000,118,0,312
2018-04-05,Z (Dec 2018),19.0000,19.0200,18.8500,18.8500,18.8500,-0.1000,153,0,393
2018-04-06,Z (Dec 2018),18.8800,19.5600,18.6600,19.2500,19.2500,0.4000,97,0,414
2018-04-09,Z (Dec 2018),19.1700,19.2700,19.0500,19.2700,19.2500,0.0000,30,0,430
2018-04-10,Z (Dec 2018),19.3400,19.4600,19.0500,19.2300,19.2500,0.0000,237,0,438
2018-04-11,Z (Dec 2018),19.2500,19.5500,19.2000,19.5000,19.5000,0.2500,543,0,754
2018-04-12,Z (Dec 2018),19.4500,19.4500,19.1000,19.1000,19.1000,-0.4000,131,0,687
2018-04-13,Z (Dec 2018),19.1200,19.2000,18.7700,18.8100,18.8250,-0.2750,344,0,747
2018-04-16,Z (Dec 2018),18.7000,18.7500,18.5000,18.6000,18.5750,-0.2500,139,0,804
2018-04-17,Z (Dec 2018),18.5500,18.5600,18.1500,18.2200,18.2250,-0.3500,541,0,1007
2018-04-18,Z (Dec 2018),18.2200,18.4700,17.9500,18.0400,18.0500,-0.1750,349,0,1128
2018-04-19,Z (Dec 2018),18.1500,18.3000,18.0200,18.0800,18.0750,0.0250,538,0,1331
2018-04-20,Z (Dec 2018),18.1200,18.3000,18.0000,18.1600,18.2000,0.1250,841,0,1690
2018-04-23,Z (Dec 2018),18.1000,18.2600,17.9200,18.1500,18.1500,-0.0500,498,0,1902
2018-04-24,Z (Dec 2018),18.2000,18.7000,17.9000,18.2300,18.1750,0.0250,1092,0,2323
2018-04-25,Z (Dec 2018),18.2000,18.4700,18.1500,18.3100,18.3750,0.2000,1248,0,2876
2018-04-26,Z (Dec 2018),18.2500,18.4000,17.9500,17.9500,17.9500,-0.4250,383,0,3049
2018-04-27,Z (Dec 2018),17.9500,18.1200,17.9100,17.9800,18.0000,0.0500,687,0,3410
2018-04-30,Z (Dec 2018),17.9500,18.1000,17.8100,18.0700,18.0500,0.0500,484,0,3607
2018-05-01,Z (Dec 2018),18.0400,18.1200,17.7000,17.7100,17.7000,-0.3500,761,0,3885
2018-05-02,Z (Dec 2018),17.7500,17.9500,17.5400,17.9100,17.9500,0.2500,453,0,4010
2018-05-03,Z (Dec 2018),17.9500,18.3500,17.7900,17.8100,17.8000,-0.1500,729,0,4203
2018-05-04,Z (Dec 2018),17.8400,18.0300,17.5800,17.6400,17.6500,-0.1500,360,0,4306
2018-05-07,Z (Dec 2018),17.5800,17.7500,17.5600,17.6500,17.7000,0.0500,378,0,4404
2018-05-08,Z (Dec 2018),17.7000,17.8000,17.6000,17.6500,17.6500,-0.0500,740,0,4725
2018-05-09,Z (Dec 2018),17.6000,17.6500,17.3700,17.3800,17.4250,-0.2250,1128,0,5210
2018-05-10,Z (Dec 2018),17.4000,17.4200,16.9500,17.0400,17.0500,-0.3750,505,0,5394
2018-05-11,Z (Dec 2018),17.0000,17.0500,16.8300,16.8600,16.8500,-0.2000,351,0,5578
2018-05-14,Z (Dec 2018),16.7700,16.8500,16.5500,16.6000,16.6500,-0.2000,1045,0,6063
2018-05-15,Z (Dec 2018),16.6500,17.1200,16.6500,17.0500,17.1250,0.4750,1390,0,6671
2018-05-16,Z (Dec 2018),17.1500,17.1500,16.6000,16.7600,16.8250,-0.3000,2020,0,7181
2018-05-17,Z (Dec 2018),16.7500,16.8700,16.5500,16.6600,16.7250,-0.1000,2433,0,8278
2018-05-18,Z (Dec 2018),16.6800,16.8900,16.5800,16.8200,16.8250,0.1000,2018,0,9078
